Artist,Track Name,Track ID,Album Name,Popularity,Added At
Kenjebek Nurdolday,Шоколад,7DqOeK6jnacnPxcBnFxEt8,Шоколад,47,2024-12-31T10:40:20Z
"Adam, Isko Alvarez",Zhurek - Isko Alvarez remix,6a9T87YsJj9gqMA7ix7jC8,Zhurek (Isko Alvarez remix),57,2024-12-30T17:15:21Z
Kelvyn Colt,Emotions,0C7OZJVm6CEOhgmdRsHPEL,Emotions,42,2024-12-30T07:05:47Z
Hayit Murat,Get It Done,38o2V1JCuanXz6G6BZ0Y4z,Get It Done,20,2024-12-27T13:47:27Z
"Victony, Rema, Tempoe, Don Toliver","Soweto (with Don Toliver, Rema & Tempoe)",25Kyv5SeEenT0EETpP2hYn,"Soweto (with Don Toliver, Rema and Tempoe)",72,2024-12-27T07:05:16Z
Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,Justice,83,2024-12-27T06:58:17Z
"Talwiinder, Sanjoy",Tu,2GzjIHQ87BF2zgbmmthZzO,Tu,59,2024-12-26T09:22:31Z
"Karma, KSHMR",BADA,1wXboYx3lvl38SHBj532Es,BADA,46,2024-12-26T09:00:22Z
"Rahul Sathu, Talha Anjum",Channa Ve,4ekflmlEIqeYEgZYx2p4xy,Channa Ve,56,2024-12-25T11:55:29Z
"Talha Anjum, Umair",Loneliness,4MoLtcLhog3fX3dVjHcEGq,My Terrible Mind,56,2024-12-25T11:39:53Z
"Talhah Yunus, Umair",303 Freestyle,1CumnK9OCX9tVqCE5SAP74,303 Freestyle,44,2024-12-25T11:31:46Z
"Talha Anjum, Umair",Departure Lane,7wGgYAOMhhRObOGdWlJ9Hi,My Terrible Mind,65,2024-12-23T17:38:11Z
Justin Bieber,Confirmation,60brXKLTC15vK0av5gIldm,Changes,53,2024-12-23T10:07:59Z
Fly By Midnight,Borrow Your Time,5VzDCIK3HmyIpxf6sgWvJo,Silver Crane,47,2024-12-23T09:56:22Z
"Rekha Bhardwaj, Javed Ali",Ranjha Ranjha,6IFsUWHbinvsqfEQvrP8xR,Raavan,50,2024-12-22T19:17:14Z
Chase Atlantic,Swim,3M0lSi5WW79CXQamgSBIjx,Chase Atlantic,86,2024-12-22T10:27:33Z
Zeeshan Ali,Saadgi,3sJWoaPT8eE7YTPzpr6Ya9,Saadgi,49,2024-12-20T07:01:51Z
FINNEAS,Let's Fall in Love for the Night,4pfhgOylRLcBll5JjUsJZj,Blood Harmony,68,2024-12-20T06:21:18Z
Tate McRae,don't come back,3RhyHYnYxuGnP8njFlNxHq,i used to think i could fly,61,2024-12-19T09:54:05Z
Sam Smith,Diamonds,1hJIbOjWpid6LtnozHmzRS,Love Goes,64,2024-12-19T07:15:59Z
Selena Gomez,Souvenir,3ZCBSFcZSRM9Z48ew28Zrf,Rare (Deluxe),61,2024-12-19T07:00:49Z
"Arcane, d4vd",Remember Me (from the series Arcane League of Legends),2fQwoYSzWzChmIB2zZwrGL,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),77,2024-12-18T17:59:30Z
Harry Styles,Cinema,35TyJIMR3xRouUuo2sjS6v,Harry's House,65,2024-12-18T06:55:26Z
"Marshmello, Halsey",Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),69,2024-12-18T06:52:57Z
